X,Y,OBJECTID_1,Station,Station_Ty,County,Region,Division,Country,Lifesaving,Lifesavi_1,Lat_Dec_De,Long_Dec_D,URL
-4.35759037699995,52.2134980610001,143,New Quay (Ceredigion),ALB/ILB,Ceredigion,WalesAndWest,Wales South & Severn,GBR,WalesAndWest,28,52.21351242,-4.35761881,https://rnli.org/find-my-nearest/lifeboat-stations/new-quay-lifeboat-station
-4.50443766299998,52.82646872,144,Abersoch,ILB,Gwynedd,WalesAndWest,Wales South & Severn,GBR,WalesAndWest,29,52.82647705,-4.50444317,https://rnli.org/find-my-nearest/lifeboat-stations/abersoch-lifeboat-station
-4.09079999999994,53.2622000000001,145,Beaumaris,ILB,Gwynedd,WalesAndWest,Wales & North West,GBR,WalesAndWest,29,53.26221466,-4.09085417,https://rnli.org/find-my-nearest/lifeboat-stations/beaumaris-lifeboat-station
-4.23041371299996,52.9180019550001,146,Criccieth,ILB,Gwynedd,WalesAndWest,Wales & North West,GBR,WalesAndWest,29,52.91806412,-4.23047876,https://rnli.org/find-my-nearest/lifeboat-stations/criccieth-lifeboat-station
-4.64181259299994,53.3179989970001,147,Holyhead,ALB/ILB,Gwynedd,WalesAndWest,Wales & North West,GBR,WalesAndWest,29,53.3180275,-4.64183617,https://rnli.org/find-my-nearest/lifeboat-stations/holyhead-lifeboat-station
-4.23197720699994,53.35464885,148,Moelfre,ALB/ILB,Gwynedd,WalesAndWest,Wales & North West,GBR,WalesAndWest,29,53.35466385,-4.23195696,https://rnli.org/find-my-nearest/lifeboat-stations/moelfre-lifeboat-station
-4.56459643299996,52.946956974,149,Porthdinllaen,ALB,Gwynedd,WalesAndWest,Wales & North West,GBR,WalesAndWest,29,52.94698715,-4.56472302,https://rnli.org/find-my-nearest/lifeboat-stations/porthdinllaen-lifeboat-station
-4.40219999999994,52.8828,150,Pwllheli,ALB/ILB,Gwynedd,WalesAndWest,Wales & North West,GBR,WalesAndWest,29,52.88276291,-4.40224314,https://rnli.org/find-my-nearest/lifeboat-stations/pwllheli-lifeboat-station
-4.61996087299997,53.2806853050001,151,Trearddur Bay,ILB,Gwynedd,WalesAndWest,Wales & North West,GBR,WalesAndWest,29,53.28065491,-4.61976194,https://rnli.org/find-my-nearest/lifeboat-stations/trearddur-bay-lifeboat-station
-3.82625567999997,53.2807983710001,152,Conwy,ILB,Conwy,WalesAndWest,Wales & North West,GBR,WalesAndWest,30,53.28094101,-3.82638597,https://rnli.org/find-my-nearest/lifeboat-stations/conwy-lifeboat-station
-3.12846228499996,53.250505758,153,Flint,ILB,Flintshire,WalesAndWest,Wales & North West,GBR,WalesAndWest,30,53.25050735,-3.12846994,https://rnli.org/find-my-nearest/lifeboat-stations/flint-lifeboat-station
-3.17759846999996,53.3993020560001,154,Hoylake,ALB/ILB,Merseyside,WalesAndWest,Wales & North West,GBR,WalesAndWest,45,53.399188,-3.177513,https://rnli.org/find-my-nearest/lifeboat-stations/hoylake-lifeboat-station
